XP,YP,ZP,PID
762903.51806641,9252071.80432129,3730,146
762903.55871582,9252073.64611816,3730,147
762903.61755371,9252040.21276855,3740,148
762903.6237793,9252070.26916504,3730,149
762903.63745117,9252115.96917725,3720,150
762903.88232422,9252068.67816162,3730,151
762903.8951416,9252179.15625,3730,152
762903.90917969,9252154.23052979,3730,153
762903.92675781,9252105.91204834,3730,154
762903.93322754,9252034.84069824,3750.006,155
762903.95739746,9252077.50354004,3730,156
762904.13647461,9252139.69824219,3720,157
762904.2824707,9252173.91668701,3730,158
762904.35888672,9252161.50085449,3730,159
762904.36486816,9252199.18395996,3720,160
762904.37963867,9252066.69799805,3730,161
762904.38903809,9252200.8112793,3720,162
762904.41479492,9252084.84484863,3730,163
762904.41809082,9252201.03137207,3720,164
762904.41821289,9252196.85717773,3720,165
762904.46166992,9252168.0447998,3730,166
762904.48510742,9252098.13598633,3730,167
762904.55175781,9252112.5536499,3720,168
762904.58129883,9252207.78295898,3730,169
762904.60070801,9252091.60247803,3730,170
762904.62182617,9252234.69439697,3740,171
762904.62268066,9252194.53167725,3720,172
762904.66418457,9252201.70556641,3720,173
762904.9029541,9252240.35430908,3750.006,174
762904.9901123,9252191.66937256,3720,175
762905.02722168,9252127.9989624,3710,176
762905.03771973,9252125.30072021,3710,177
762905.1907959,9252130.67449951,3710,178
762905.23193359,9252122.53106689,3710,179
762905.23217773,9252064.09625244,3730,180
762905.47912598,9252203.51568604,3720,181
762905.48669434,9252188.20562744,3720,182
762905.52612305,9252133.37469482,3710,183
762905.58398438,9252144.64324951,3720,184
762905.62731934,9252119.63970947,3710,185
762905.94104004,9252041.54785156,3730,186
762906.03613281,9252136.14123535,3710,187
762906.04174805,9252184.11804199,3720,188
762906.19958496,9252071.86688232,3720,189
762906.23510742,9252073.47857666,3720,190
762906.24707031,9252116.58239746,3710,191
762906.28833008,9252070.57672119,3720,192
762906.50878906,9252069.22045898,3720,193
762906.53088379,9252060.74645996,3730,194
762906.5637207,9252179.40252686,3720,195
762906.57543945,9252106.43682861,3720,196
762906.57983398,9252154.00598145,3720,197
762906.6282959,9252077.28240967,3720,198
762906.67114258,9252212.08807373,3730,199
762906.72631836,9252139.00787354,3710,200
762906.94628906,9252233.3614502,3730,201
762906.95544434,9252067.44250488,3720,202
762906.95898438,9252174.05639648,3720,203
762906.99035645,9252206.60992432,3720,204
762907.03710938,9252161.39703369,3720,205
762907.0447998,9252199.19476318,3710,206
762907.0637207,9252200.46459961,3710,207
762907.09191895,9252084.72467041,3720,208
762907.0949707,9252197.00537109,3710,209
762907.11999512,9252113.3215332,3710,210
762907.1418457,9252168.06463623,3720,211
762907.14770508,9252200.69488525,3710,212
762907.1628418,9252098.2557373,3720,213
762907.22814941,9252033.73034668,3740,214
762907.28088379,9252091.58935547,3720,215
762907.28710938,9252194.81970215,3710,216
762907.64526367,9252192.03009033,3710,217
762907.75634766,9252064.99835205,3720,218
762907.90527344,9252202.37744141,3710,219
762908.14038086,9252188.5760498,3710,220
762908.22314453,9252144.12103271,3710,221
762908.31896973,9252056.58789063,3730,222
762908.70129395,9252184.44580078,3710,223
762908.88110352,9252071.92944336,3710,224
762908.91162109,9252073.31097412,3710,225
762908.91662598,9252026.03771973,3750.006,226
762908.953125,9252070.88427734,3710,227
762909.01171875,9252061.76031494,3720,228
762909.09619141,9252210.94799805,3720,229
762909.13537598,9252069.76275635,3710,230
762909.14794922,9252217.53173828,3730,231
762909.16223145,9252242.70147705,3740,232
762909.22412109,9252106.96160889,3710,233
762909.23242188,9252179.64880371,3710,234
762909.25048828,9252153.78143311,3710,235
762909.29919434,9252077.0612793,3710,236
762909.39941406,9252205.43688965,3710,237
762909.53112793,9252068.18701172,3710,238
762909.58276367,9252035.00964355,3730,239
762909.63549805,9252174.19610596,3710,240
762909.71533203,9252161.29321289,3710,241
762909.76916504,9252084.60449219,3710,242
762909.82189941,9252168.08447266,3710,243
762909.84057617,9252098.37548828,3710,244
762909.96105957,9252091.57623291,3710,245
762910.28039551,9252065.90045166,3710,246
762910.30603027,9252052.22900391,3730,247
762910.60839844,9252027.35015869,3740,248
762910.76916504,9252057.67297363,3720,249
762910.91271973,9252251.21557617,3750.006,250
762910.96520996,9252221.95245361,3730,251
762911.49243164,9252062.77416992,3710,252
762911.49560547,9252241.38427734,3730,253
762911.52124023,9252209.80792236,3710,254
762911.60742188,9252216.46716309,3720,255
762912.68457031,9252053.47119141,3720,256
762912.98474121,9252028.58843994,3730,257
762913.21923828,9252058.75799561,3710,258
762913.37426758,9252220.76556396,3720,259
762913.44116211,9252250.315979,3740,260
762913.86889648,9252020.98791504,3740,261
762913.9185791,9252046.13183594,3730,262
762914.06689453,9252215.40258789,3710,263
762914.22827148,9252127.73590088,3710,264
762914.2364502,9252125.64093018,3710,265
762914.3560791,9252129.82598877,3710,266
762914.38818359,9252123.47698975,3710,267
