XP,YP,ZP,PID
4710.24169922,10010.24169922,2027.87194824,1
4710.24169922,10013.15429688,2028.21710205,2
4710.24169922,10020.58105469,2028.91015625,3
4710.24169922,10030.04882813,2029.41278076,4
4710.24169922,10040.0012207,2029.60092163,5
4710.24169922,10050,2029.63632202,6
4710.24169922,10060,2029.63510132,7
4710.24169922,10070,2029.62289429,8
4710.24169922,10080,2029.5887146,9
4710.24169922,10100,2029.46374512,10
4710.24169922,10110,2029.4387207,11
4710.24169922,10120,2029.46176147,12
4710.24169922,10130,2029.48693848,13
4710.24169922,10140,2029.3039856,14
4710.24169922,10150,2028.48764038,15
4710.24169922,10160,2026.74386597,16
4710.24169922,10170,2024.44329834,17
4710.24169922,10180,2022.48605347,18
4710.24169922,10190,2021.43243408,19
4710.24169922,10200,2021.18249512,20
4710.24169922,10210,2021.59188843,21
4710.24169922,10220,2022.88583374,22
4710.24169922,10230,2025.38293457,23
4710.24169922,10240,2029.09906006,24
4710.24169922,10250,2033.55004883,25
4710.24169922,10260,2037.93511963,26
4710.24169922,10280,2045.7354126,27
4710.24169922,10290,2050.30801392,28
4710.24169922,10300,2055.21218872,29
4710.24169922,10310,2059.54827881,30
4710.24169922,10320,2063.2593689,31
4710.24169922,10330,2066.91400146,32
4710.24169922,10340,2070.45724487,33
4710.24169922,10350,2073.23114014,34
4710.24169922,10360,2074.87664795,35
4710.24169922,10370,2075.55581665,36
4710.24169922,10380,2075.4984436,37
4710.24169922,10390,2074.55575562,38
4710.24169922,10400,2072.36413574,39
4710.24169922,10410,2069.06671143,40
4710.24169922,10420,2065.4682312,41
4710.24169922,10430,2062.26739502,42
4710.24169922,10440,2059.83163452,43
4710.24169922,10450,2058.70050049,44
4710.24169922,10460,2059.31207275,45
4710.24169922,10470,2061.52062988,46
4710.24169922,10480,2065.09851074,47
4710.24169922,10490,2070.06661987,48
4710.24169922,10500,2076.12283325,49
4710.24169922,10510,2082.43188477,50
4710.24169922,10520,2088.27920532,51
4710.24169922,10530,2093.56774902,52
4710.24169922,10540,2098.48565674,53
4710.24169922,10550,2103.02438354,54
4710.24169922,10560,2106.98571777,55
4710.24169922,10570,2110.31671143,56
4710.24169922,10580,2113.17346191,57
4710.24169922,10590,2115.71908569,58
4710.24169922,10600,2118.17910767,59
4710.24169922,10610,2120.88311768,60
4710.24169922,10620,2123.98019409,61
4710.24169922,10630,2127.27975464,62
4710.24169922,10640,2130.58526611,63
4710.24169922,10650,2133.85476685,64
4710.24169922,10660,2136.83938599,65
4710.24169922,10670,2139.04077148,66
4710.24169922,10680,2140.17800903,67
4710.24169922,10690,2140.42230225,68
4710.24169922,10700,2140.19052124,69
4710.24169922,10710,2139.87481689,70
4710.24169922,10720,2139.72711182,71
4710.24169922,10730,2139.96087646,72
4710.24169922,10740,2140.83184814,73
4710.24169922,10750,2142.29394531,74
4710.24169922,10760,2143.80059814,75
4710.24169922,10770,2144.87054443,76
4710.24169922,10780,2145.51431274,77
4710.24169922,10790,2145.92996216,78
4710.24169922,10800,2146.30715942,79
4710.24169922,10810,2146.91430664,80
4710.24169922,10820,2147.90643311,81
4710.24169922,10830,2149.22875977,82
4710.24169922,10840,2150.92843628,83
