XP,YP,ZP,PID
4873.01611196,10390,2140,1
4873.81137393,10396.18862607,2140,2
4874.25002794,10384.25002794,2140,3
4875.05582284,10400,2140,4
4878.33530675,10378.33530675,2140,5
4878.56386225,10408.56386225,2140,6
4879.23367507,10410,2140,7
4880,10376.66299521,2140,8
4880,10411.94210111,2140,9
4882.29141431,10417.70858569,2140,10
4883.36612043,10420,2140,11
4885.13332828,10424.86667172,2140,12
4885.32921808,10370,2140,13
4885.93362174,10426.40707753,2140,14
4887.80026775,10430,2140,15
4890,10363.11497485,2140,16
4891.20212104,10361.20212104,2140,17
4893.95413031,10353.95413031,2140,18
4895.21583482,10330,2140,19
4895.53506349,10335.53506349,2140,20
4895.92227536,10344.07772464,2140,21
4897.76234776,10312.23765224,2140,22
4897.83795792,10440,2140,23
4899.15142441,10440.84857559,2140,24
4902.41154385,10442.41154385,2140,25
4905.33279704,10300.17654807,2140,26
4905.96073058,10444.03926942,2140,27
4911.01294041,10291.01294041,2140,28
4911.7457764,10290,2140,29
4914.52865438,10284.52865438,2140,30
4917.98900201,10447.98900201,2140,31
4920,10274.61751862,2140,32
4920,10448.41547455,2140,33
4921.25669148,10448.74330852,2140,34
4923.47592939,10503.47592939,2122.58041782,35
4923.82944815,10510,2121.28101786,36
4923.95442513,10500,2123.03306045,37
4924.48853932,10514.48853932,2120.2375742,38
4924.66261417,10515.33738583,2120.02247898,39
4925,10515.68577466,2120,40
4925.96101938,10265.96101938,2140,41
4929.47279939,10483.694715,2123.97979447,42
4930,10483.13805264,2124.12909012,43
4930.68881435,10260,2140,44
4931.65755976,10258.34244024,2140,45
4933.06664498,10480,2124.94374848,46
4933.27334424,10256.04419552,2140,47
4934.41720349,10254.41720349,2140,48
4939.05850355,10250,2140,49
4939.09505618,10527.28516854,2120,50
4939.50180844,10485.78409188,2120,51
4940,10248.78937977,2140,52
4940,10453.49680096,2140,53
4942.6588902,10530,2120,54
4946.53645367,10533.46354633,2120,55
4946.88673113,10465.27381702,2134.31679374,56
4950,10250.52069542,2140,57
4950,10458.93141968,2140,58
4950.63972148,10459.36027852,2140,59
4951.06351568,10539.59467686,2120,60
4951.2593225,10460,2140,61
4954.82134604,10256.13572053,2140,62
4957.72516689,10557.54503338,2120,63
4958.94214267,10564.25649688,2120,64
4959.15369035,10565.42315483,2120,65
4962.80299145,10577.19700855,2120,66
4965.32508679,10582.6625434,2120,67
4966.28568919,10457.62425099,2140,68
4967.1545304,10605.30089792,2120,69
4967.82508788,10587.82508788,2120,70
4968.96270549,10591.03729451,2120,71
4969.36575845,10462.85619039,2130,72
4970.01493536,10600.71070875,2120,73
4970.61066442,10535.72659874,2120,74
4973.02214044,10467.43664583,2120,75
4976.51403602,10535.5489574,2110,76
4976.5237352,10280,2140,77
4978.76260357,10282.47479285,2140,78
4980,10619.80293583,2124.11259179,79
4982.35325992,10471.98108029,2120,80
4982.41740762,10535.37131605,2100,81
4984.84980293,10290.30039415,2140,82
4986.36206903,10599.4481901,2120,83
4987.74058893,10474.60481301,2110,84
4990.02410598,10630,2125.86766117,85
4991.69578216,10596.96602135,2110,86
4992.64233832,10535.06363249,2100,87
4993.12791794,10477.22854574,2100,88
4995.50427957,10635.2909534,2126.45861612,89
4996.50137487,10636.50137487,2126.56667668,90
4997.0294953,10594.4838526,2100,91
4998.13796129,10632.64188009,2120,92
4998.54570992,10534.88599115,2090,93
4998.87515378,10736.26498731,2180,94
4998.88348693,10306.65046079,2140,95
4999.2057409,10639.87295946,2126.96199966,96
4999.3076408,10640,2126.97689534,97
4999.64919245,10737.92983849,2180.81610486,98
5000,10308.11606653,2140,99
5000,10640.89439616,2127.1141172,100
5000.30869085,10736.24454928,2180,101
5000.33585783,10419.13275601,2140,102
5001.12611713,10309.43694143,2140,103
5001.74430069,10739.70796361,2180,104
5001.87916919,10702.08671278,2160,105
5002.3924517,10779.2969301,2200,106
5002.45903743,10481.77298019,2100,107
5003.30782927,10779.19385331,2200,108
5003.82819001,10423.89865906,2130,109
5004.17910664,10750.28938631,2186.65736749,110
5004.44908151,10534.70834981,2080,111
5004.49030487,10718.36416197,2170,112
5005,10672.28169942,2140,113
5005,10785.95374248,2203.12899946,114
5005.10041975,10720,2171.00205073,115
5005.30954006,10674.69045994,2141.58752318,116
5005.42003797,10675,2141.79585638,117
5005.93081867,10626.35522086,2120,118
5006.17836729,10756.17836729,2189.43407376,119
5006.183375,10702.36675,2160,120
5006.26774946,10590.18461393,2100,121
5006.34261466,10736.2745123,2180,122
5006.62770717,10713.37229283,2166.80356126,123
5007.32052218,10428.66456212,2120,124
5007.84636643,10484.39671292,2090,125
5007.96028308,10682.03971692,2146.49832118,126
5008.1666581,10651.8333419,2129.14801245,127
5008.79509716,10718.60270451,2170,128
5009.05599476,10729.68533159,2176.47816934,129
5009.4048691,10654.00021667,2130,130
5010,10702.92155405,2160,131
5010,10731.81423104,2177.58266827,132
5010,10736.40172586,2180,133
5010.24200572,10687.93925453,2150.23962029,134
5010.43003087,10622.72561332,2110,135
5010.55284399,10733.13083453,2178.30694633,136
5010.73258794,10769.71427603,2195.87561814,137
5010.83256978,10688.4055429,2150,138
5010.99750588,10647.04457003,2120,139
5010.99863697,10799.00136303,2208.01844814,140
5011.00714924,10321.00714924,2140,141
5011.45692909,10736.24914984,2180,142
5011.6014626,10587.70244518,2090,143
5011.9599185,10722.17588989,2170,144
5012.96070127,10775.48220067,2198.63057141,145
5013.23369544,10487.02044564,2080,146
5013.36941372,10436.91934122,2120,147
5013.42145273,10703.15709455,2160,148
5013.51675987,10767.77499138,2190,149
5014.06173509,10697.61166111,2156.38548706,150
5014.20295707,10805,2209.64099591,151
5014.23642785,10324.74547595,2140,152
5014.40126309,10730.25731183,2170,153
5014.67401221,10534.40066625,2080,154
5014.92924307,10619.09600578,2100,155
5015.16856927,10684.59333272,2140,156
5015.22838218,10806.76235881,2210,157
5015.38041365,10664.98739484,2134.71519823,158
5016.1041864,10718.14721608,2160,159
5016.80922468,10673.19077532,2140,160
5016.86174589,10441.68524427,2110,161
5016.93517573,10585.22027643,2080,162
5017.22499266,10670,2138.0168449,163
5018.00982205,10671.99017795,2139.25924447,164
5018.22683094,10811.77316906,2210.90458537,165
5018.25527735,10764.4744286,2180,166
5018.42864389,10673.12050155,2140,167
5018.49455736,10640.42660819,2120,168
5019.60855479,10330,2140,169
5019.81298026,10330.18701974,2140,170
5020.35407807,10446.45114733,2100,171
5020.57738381,10534.22302491,2070,172
5021.14832627,10816.5550212,2211.68371554,173
5021.43613871,10817.0194924,2211.75373278,174
5022.23879823,10816.40168088,2210,175
5022.56481493,10491.5648801,2080,176
5022.6787342,10677.99039669,2140,177
5022.72210045,10612.80934655,2100,178
5022.8229858,10636.60572284,2110,179
5023.28226896,10711.16934836,2160,180
5025.28990036,10334.71009964,2140,181
5026.17342989,10580.92103776,2080,182
5026.4029696,10454.70592642,2100,183
5026.46262328,10758.75769112,2180,184
5026.48075541,10534.04538357,2060,185
5026.81566153,10812.8788436,2200,186
5027.01473369,10674.1781865,2130,187
5027.15141423,10632.78483749,2100,188
5027.22131265,10609.17973901,2090,189
5027.42654045,10707.14067107,2150,190
5027.95214393,10494.18861282,2070,191
5029.89530178,10459.47182948,2090,192
5030,10337.19461277,2140,193
5031.20114076,10755.45712834,2170,194
5031.35073318,10670.36597631,2120,195
5031.50714303,10578.43886901,2070,196
5031.57081194,10703.11199378,2140,197
5031.69645736,10338.30354264,2140,198
5031.72052485,10605.55013147,2080,199
5033.33947294,10496.81234555,2060,200
5033.38763396,10464.23773254,2080,201
5034.64846572,10626.16687565,2100,202
5034.74301445,10806.77711574,2200,203
5035.65874703,10340,2140,204
5035.68413161,10857.90712125,2220,205
5036.37359021,10745.06370712,2170,206
5036.70568611,10533.73770001,2060,207
5036.84085617,10575.95670027,2060,208
5037.19236964,10860,2220.26230568,209
5038.41046012,10861.58953988,2220.36402265,210
5038.66959188,10341.33040812,2140,211
5038.7488945,10696.13412607,2140,212
5038.8608981,10663.76304029,2120,213
5038.97689416,10622.34599029,2090,214
5039.31987775,10803.25427846,2190,215
5039.43652549,10472.49251163,2080,216
5039.51338223,10599.26347223,2080,217
5040,10845.35822578,2217.80206003,218
5040,10857.70190718,2220,219
5040.01395749,10740.56262648,2160,220
5040.6848345,10342.05450349,2140,221
5042.60905771,10533.56005867,2050,222
5042.67059243,10501.35678,2060,223
5042.89316599,10692.10544878,2130,224
5042.92885767,10477.25841469,2070,225
5042.93069029,10857.06930971,2220,226
5043.1243364,10400.11565442,2140,227
5043.19689759,10659.9508301,2110,228
5043.30532259,10618.52510494,2080,229
5043.89674105,10799.73144119,2180,230
5044.01259443,10595.63386469,2070,231
5045.03472502,10405.5846435,2130,232
5045.7956236,10854.2043764,2219.68905227,233
5046.07911032,10571.6574616,2060,234
5046.31925857,10732.76652612,2160,235
5046.42118984,10482.02431774,2060,236
5046.79331549,10343.96657743,2140,237
5046.94511364,10411.05363258,2120,238
5047.03743747,10688.07677149,2120,239
5047.29353449,10856.32905476,2220,240
5047.53289708,10656.13861991,2100,241
5048.05792144,10503.98051273,2050,242
5048.51180663,10592.00425715,2060,243
5048.51242931,10533.38241733,2040,244
5049.959629,10728.26544159,2150,245
5050.25400093,10420.52619134,2120,246
5050.80237408,10611.9071431,2080,247
5051.41282346,10569.17529285,2050,248
5051.82409398,10793.62971333,2180,249
5051.93763472,10533.27934774,2040,250
5052.16438955,10425.99518042,2110,251
5052.47008138,10490.27909684,2060,252
5053.44525044,10506.60424545,2040,253
5053.59999942,10723.76435705,2140,254
5053.91780434,10533.32803687,2036.64620139,255
5054.07477818,10431.4641695,2100,256
5054.21552004,10681.09890377,2120,257
5055.043062,10649.53568389,2100,258
5055.13080251,10608.08625774,2070,259
5055.96241355,10495.0449999,2050,260
5056.30466401,10585.71759792,2060,261
5056.40095728,10790.10687605,2170,262
5056.42284958,10883.38611762,2220,263
5056.7465366,10566.6931241,2040,264
5057.38366547,10440.93672826,2100,265
5057.85739727,10508.75304572,2040,266
5058.15821877,10566.03616463,2040,267
5058.35979153,10677.07022648,2110,268
5058.99283719,10565.70193718,2038.4717777,269
5059.29405409,10446.40571734,2090,270
5059.37906149,10645.7234737,2090,271
5059.45474573,10499.81090295,2040,272
5059.45923095,10604.26537239,2060,273
5059.9053005,10715.96825669,2140,274
5060.31560155,10510.12121374,2035.30511872,275
5060.80387621,10582.08799038,2050,276
5061.20444271,10451.87470642,2080,277
5062.50406301,10673.04154919,2100,278
5062.53497894,10504.0144243,2040,279
5062.66191463,10875.2102075,2220,280
5062.82164082,10350,2140,281
5063.54567093,10711.46717216,2130,282
5063.71506098,10641.91126351,2080,283
5063.75852254,10350.41741013,2140,284
5064.14482137,10506.48383389,2035.0108905,285
5064.51333,10461.34726518,2080,286
5065.30308841,10578.45838284,2040,287
5065.88680375,10577.98490926,2040,288
5066.23682764,10577.73318612,2039.25415389,289
5066.26404362,10870.48983951,2210,290
5066.42371863,10466.81625426,2070,291
5066.95628243,10597.64741055,2060,292
5067.18604135,10706.96608763,2120,293
5068.33410725,10472.28524334,2060,294
5069.68214558,10666.06368147,2100,295
5069.86617262,10865.76947152,2200,296
5071.00344441,10353.64864489,2140,297
