PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
2980,2981,3073,212,1,1,1
2981,2982,3073,213,1,1,1
2984,3074,2983,214,1,1,1
3074,2984,2985,215,1,1,1
2985,2986,3074,216,1,1,1
2986,3075,3074,217,1,1,1
2986,2987,3075,218,1,1,1
2987,3024,3075,219,1,1,1
3024,39,3075,220,1,1,1
3024,2990,39,221,1,1,1
39,2990,2991,222,1,1,1
2991,3076,39,223,1,1,1
2991,2992,3076,224,1,1,1
2993,3076,2992,225,1,1,1
2994,3076,2993,226,1,1,1
2994,40,3076,227,1,1,1
2994,2995,40,228,1,1,1
2995,2996,40,229,1,1,1
2996,2997,40,230,1,1,1
2997,71,40,231,1,1,1
2997,17,71,232,1,1,1
17,2999,3000,233,1,1,1
3000,3001,17,234,1,1,1
3002,3129,3001,235,1,1,1
3129,3002,3003,236,1,1,1
3003,3077,3129,237,1,1,1
3003,3025,3077,238,1,1,1
3025,3078,3077,239,1,1,1
3025,3005,3078,240,1,1,1
3005,3132,3078,241,1,1,1
3005,3006,3132,242,1,1,1
3006,3242,3132,243,1,1,1
3007,3242,3006,244,1,1,1
3079,2894,3080,245,1,1,1
3079,2892,2894,246,1,1,1
2900,3082,3081,247,1,1,1
2900,41,3082,248,1,1,1
3026,41,2900,249,1,1,1
3026,3083,41,250,1,1,1
3026,3027,3083,251,1,1,1
3027,3084,3083,252,1,1,1
3027,18,3084,253,1,1,1
18,3085,3084,254,1,1,1
19,3085,18,255,1,1,1
19,3086,3085,256,1,1,1
3028,3086,19,257,1,1,1
3028,3087,3086,258,1,1,1
3029,3087,3028,259,1,1,1
3029,3088,3087,260,1,1,1
3030,3088,3029,261,1,1,1
3030,3089,3088,262,1,1,1
20,3089,3030,263,1,1,1
20,3090,3089,264,1,1,1
20,3031,3090,265,1,1,1
20,3030,3031,266,1,1,1
3032,3090,3031,267,1,1,1
3032,3091,3090,268,1,1,1
3033,3091,3032,269,1,1,1
3033,3092,3091,270,1,1,1
3034,3092,3033,271,1,1,1
3034,3093,3092,272,1,1,1
21,3093,3034,273,1,1,1
21,3094,3093,274,1,1,1
22,3094,21,275,1,1,1
22,50,3094,276,1,1,1
3035,50,22,277,1,1,1
3035,3150,50,278,1,1,1
3036,3150,3035,279,1,1,1
3036,23,3150,280,1,1,1
23,3037,3151,281,1,1,1
2918,3037,2917,282,1,1,1
2918,24,3037,283,1,1,1
2918,3095,24,284,1,1,1
2918,3038,3095,285,1,1,1
3038,25,3095,286,1,1,1
3038,3039,25,287,1,1,1
25,3040,3096,288,1,1,1
25,3039,3040,289,1,1,1
26,3096,3040,290,1,1,1
3041,3097,26,291,1,1,1
3098,3097,3041,292,1,1,1
3098,3041,3042,293,1,1,1
3042,3099,3098,294,1,1,1
3042,3043,3099,295,1,1,1
27,3099,3043,296,1,1,1
27,3100,3099,297,1,1,1
27,3044,3100,298,1,1,1
27,3043,3044,299,1,1,1
3044,3101,3100,300,1,1,1
3044,3045,3101,301,1,1,1
3045,3102,3101,302,1,1,1
3045,3046,3102,303,1,1,1
