XP,YP,ZP,PID
5397.21985458,10626.11996352,2080,1
5399.23715043,10616.14427436,2079.60249312,2
5400.72359243,10613.91461136,2080,3
5401.25714759,10605.82856827,2079.07983277,4
5402.53154929,10600,2079.00933516,5
5403.62267827,10604.25154782,2080,6
5403.87230797,10593.87230797,2078.93683192,7
5404.66290235,10600,2080,8
5404.72184634,10590,2078.89484121,9
5405.71062213,10595.71062213,2080,10
5406.47245149,10583.52754851,2079.38325181,11
5407.09652459,10590,2080,12
5407.95867039,10582.04132961,2080,13
5409.06504698,10573.66268286,2080,14
5404.20831765,10726.92974501,2100,15
5405.40850024,10724.59149976,2100,16
5408.68893104,10724.17815159,2101.47678093,17
5409.47427208,10716.51272437,2100,18
5411.83656179,10722.24515732,2102.51421948,19
5411.94071089,10711.61185782,2100,20
5413.30063639,10708.66012728,2100,21
5413.57998609,10718.81560257,2100,22
5415.50211535,10719.89371702,2103.59091503,23
5415.69456316,10716.45815526,2102.94144239,24
5415.76279233,10714.23720767,2102.42560225,25
5415.89371623,10710.82125675,2101.6766012,26
5415.98467017,10709.19693403,2101.36947319,27
5416.03753397,10708.46959949,2101.25268365,28
5416.59964986,10700.68007003,2100,29
5416.60374858,10700.67925028,2100.00177188,30
5416.60552029,10700.6623974,2100,31
4850.14918787,10389.85081213,2120,32
4850.15209951,10390,2120,33
4850.48161176,10385.08623828,2120,34
4850.78192343,10380.78192343,2120,35
4850.99282872,10380,2120,36
4852.96411898,10397.03588102,2120,37
4853.70222075,10373.70222075,2120,38
4854.46077828,10400,2120,39
4855.47370445,10324.52629555,2120,40
4855.66572085,10325.66572085,2120,41
4856.11575669,10320,2120,42
4856.74546889,10370,2120,43
4856.97897488,10330,2120,44
4857.16788897,10402.83211103,2120,45
4857.18112688,10317.18112688,2120,46
4857.8478363,10332.1521637,2120,47
4858.01753414,10368.01753414,2120,48
4860,10312.8826064,2120,49
4860,10334.5778301,2120,50
4860,10365.52365008,2120,51
4860,10406.49146683,2120,52
4860.81615444,10310.81615444,2120,53
4861.24081606,10310,2120,54
4861.36684149,10408.63315851,2120,55
4862.05932799,10410,2120,56
4863.01050837,10363.01050837,2120,57
4863.88650777,10340,2120,58
4865.24813559,10414.75186441,2120,59
4865.59404598,10415.59404598,2120,60
4865.9905026,10360,2120,61
4866.97515392,10420,2120,62
4867.00446082,10342.99553918,2120,63
4867.78022269,10357.78022269,2120,64
4867.89467019,10422.10532981,2120,65
4868.30550103,10611.56835851,2120,66
4868.37550966,10611.62449034,2120.01778236,67
4869.06843138,10610,2120,68
4869.11838154,10609.11838154,2120,69
4869.36047975,10608.79400216,2120,70
4869.88484286,10429.88484286,2120,71
4869.90244484,10430,2120,72
4869.9214869,10430.0785131,2120,73
4870,10300.4847478,2120,74
4870,10349.08531904,2120,75
4870,10351.06959381,2120,76
4870,10430.36610223,2120,77
4870,10607.93713018,2120,78
4870,10612.84193809,2120.30569785,79
4870.2009554,10300.2009554,2120,80
4870.3271709,10350,2120,81
4870.33763537,10349.66236463,2120,82
4870.36917196,10300,2120,83
4870.38103983,10350.38103983,2120,84
4871.92183995,10438.07816005,2120,85
4872.9645705,10440,2120,86
4873.16595368,10603.16595368,2120,87
4874.93937422,10294.93937422,2120,88
4875.330802,10444.669198,2120,89
4878.84939697,10600,2120,90
4879.03863228,10290,2120,91
4879.45017838,10289.45017838,2120,92
4879.55744985,10599.55744985,2120,93
4879.85828617,10619.85828617,2121.50773547,94
4879.98215505,10619.94646514,2121.52286673,95
4880,10288.27823749,2120,96
4880,10448.54281385,2120,97
4880,10599.56314821,2120,98
4880.02471602,10619.97528398,2121.52589668,99
4880.05953541,10620,2121.53004597,100
4880.71506589,10449.28493411,2120,101
4880.72471108,10599.27528892,2120,102
4882.14170222,10450,2120,103
4883.06133854,10283.06133854,2120,104
4884.19695171,10280,2120,105
4885.39199,10275.39199,2120,106
4885.53198477,10274.82267174,2120,107
4885.79780845,10624.20219155,2122.40296993,108
4885.80103734,10272.59688799,2120,109
4887.06697154,10262.93302846,2120,110
4887.37544317,10452.62455683,2120,111
4887.76431052,10257.76431052,2120,112
4888.64606866,10598.64606866,2120,113
4889.29526093,10250.70473907,2120,114
4889.57225478,10249.57225478,2120,115
4890,10248.12641027,2120,116
4890,10453.64767959,2120,117
4890,10599.06614727,2120,118
4890,10627.55498905,2123.44620772,119
4891.05779547,10598.94220453,2120,120
4891.39362523,10628.60637477,2123.70340646,121
4891.84894173,10241.84894173,2120,122
4893.01285548,10630,2124.25451994,123
4893.26040974,10238.36979513,2120,124
4895.20251927,10685.34717003,2140,125
4895.24907193,10685.24907193,2140,126
4895.76401324,10455.76401324,2120,127
4895.85452449,10632.48941198,2125.28573322,128
4896.04349007,10690,2141.35560934,129
4896.10137567,10633.89862433,2125.70911317,130
4896.52259899,10693.09932574,2142.39074964,131
4896.56580454,10636.86839092,2126.6922656,132
